person_id,popularity,followers,name
7JoWcJHDOG58JYTe6d400S,63.0,2503382.0,Zé Ramalho
4ssUf5gLb1GBLxi1BhPrVt,63.0,804885.0,Jorge Drexler
2T06whb4s6UiufL1j5Qtz9,63.0,2035046.0,José Alfredo Jimenez
0LQoZQIV0mIs0y0XQb0Sw2,63.0,43733.0,Chris Martin
0rSTXALHu0EKAawPLBdODH,63.0,2045533.0,Marisa Monte
5sm0jQ1mq0dusiLtDJ2b4R,63.0,589194.0,Eric Prydz
6YHEMoNPbcheiWS2haGzkn,63.0,1979383.0,Michael Bolton
4x7kxyIgzgtrHYDQ8SCzo2,63.0,1797111.0,Marcos Witt
4qwGe91Bz9K2T8jXTZ815W,63.0,3751556.0,Janet Jackson
3plJVWt88EqjvtuB4ZDRV3,63.0,551708.0,Ben E. King
1QL7yTHrdahRMpvNtn6rI2,63.0,868107.0,George Frideric Handel
40xbWSB4JPdOkRyuTDy1oP,63.0,2392218.0,Nicole Scherzinger
09djLPsTydbIFC9duW5mQp,63.0,940006.0,Vitinho
5veVxxPm1vzgi6pO2iVA8L,63.0,157044.0,Bruno Martini
3qZ2n5keOAat1SoF6bHwmb,63.0,1670287.0,Zeca Pagodinho
4kLvhMAuCloLxoP1aVM7Lr,63.0,320985.0,Michael Giacchino
3EhbVgyfGd7HkpsagwL9GS,63.0,3562623.0,Alice Cooper
3zTOe1BtyTkwNvYZOxXktX,63.0,1791878.0,Joe
5MQG067ASfGn0Cf1nE0S8g,63.0,68609.0,0to8
5l8VQNuIg0turYE1VtM9zV,63.0,3214895.0,Leonard Cohen
7dnT2FUXhjirperXaH22IJ,63.0,1105412.0,Rita Lee
695W5F2Ih8dYahLdjVOIoH,63.0,968877.0,Christopher Cross
436sYg6CZhNefQJogaXeK0,63.0,349747.0,Camille Saint-Saëns
0pVJXCGsBydS7rq0R4w4hm,63.0,15117.0,Yuri Redicopa
7n1XMwvxPf10t4OX6h6Ufy,63.0,2932202.0,Nando Reis
5IFCkqu9J6xdWeYMk5I889,63.0,737207.0,Gloria Estefan
0A1oy7PC7fdzURgaLaWkL1,63.0,1959516.0,Lulu Santos
1THj0JI7zld7YDsWERcSUz,63.0,768125.0,Isaias Saad
1Fmb52lZ6Jv7FMWXXTPO3K,63.0,737556.0,Joan Jett & the Blackhearts
74NBPbyyftqJ4SpDZ4c1Ed,63.0,161371.0,Tom Morello
1c22GXH30ijlOfXhfLz9Df,63.0,1061831.0,Elvis Crespo
6VPRGmbZ0dupZrbwwEDRRw,63.0,1739841.0,Exaltasamba
4FGcERJWMg8ENOLixwF71U,62.0,978672.0,Vitor Kley
2euX7vCVnJy3TVEGfc0RCl,62.0,2120114.0,Titãs
1cZQSpDsxgKIX2yW5OR9Ot,62.0,374216.0,Lennon Stella
4OgNARLQSC4yy7Dsa5cqxx,62.0,2332641.0,Yuri
2p0UyoPfYfI76PCStuXfOP,62.0,1050217.0,Franz Schubert
1bj5GrcLom5gZFF5t949Xl,62.0,1211360.0,Martin Solveig
3PhL2Vdao2v8SS8AptuhAr,62.0,298413.0,James Horner
4iWkwAVzssjb8XgxdoOL6M,62.0,2816858.0,TIAGO IORC
0IxgA9wO4Op3CSnPlhfwV1,62.0,155775.0,Kevin
3GMoVpWJy4smKuxFuFTwXC,62.0,160840.0,Roger
6L1XC7NrmgWRlwAeLJvVtA,62.0,253345.0,Sam Fischer
2vWGxqWbGgmgxVDZ5CBvBP,62.0,313562.0,Bielzin
2gXmjQIxCO8lMnSncluZaU,62.0,524325.0,Cory Asbury
05YVYeV4HxYp5rrWalvuE1,62.0,321384.0,"Grover Washington, Jr."
4sD9znwiVFx9cgRPZ42aQ1,62.0,1127961.0,Sinéad O'Connor
2sd9Q3r0Jhqpe3w9WVuG43,62.0,129831.0,Crystal Waters
2eogQKWWoohI3BSnoG7E2U,62.0,1840832.0,Donna Summer
6eYFryfcEu3QSq59D62wZQ,62.0,104376.0,Brendon Urie
5GtMEZEeFFsuHY8ad4kOxv,62.0,1753407.0,Seal
19y5MFBH7gohEdGwKM7QsP,62.0,2840398.0,Luther Vandross
0vYQRW5LIDeYQOccTviQNX,62.0,560145.0,Kris Kristofferson
7oEkUINVIj1Nr3Wnj8tzqr,62.0,1223637.0,Gilberto Gil
2uOlKKhuUUWlTITCYYUuIK,62.0,479772.0,Pablo
4rUyBlggM5tZUH5QZn9ZuO,62.0,1329790.0,Silvio Rodríguez
3i7Bn2SoEkRVEGkdz9o6Yu,61.0,7080.0,Dyamante DJ
4IQKOXNGjuRRe0WgOm5YfB,61.0,725533.0,Xande De Pilares
6vetaGijEBK3wfhtCUWRBS,61.0,1796529.0,Lilly Goodman
0oNOkdVXXFaWC9tPb7Ol10,61.0,800000.0,Dfideliz
5sy77gt4bfsLcSQ8GIe4ZZ,61.0,119514.0,Alan Menken
7jrRQZg4FZq6dwpi3baKcu,61.0,2151110.0,Raul Seixas
7apN8bBgl19E0Ona9pvPq0,61.0,177590.0,Cody Carnes
5JYtpnUKxAzXfHEYpOeeit,61.0,912349.0,Jorge Ben Jor
6nZ39vMOOOgXQ471Jy5jhR,61.0,2727.0,WEY
7jEEE187pVG6InOxn03oA5,61.0,186227.0,Benjamin Ingrosso
1385hLNbrnbCJGokfH2ac2,61.0,763233.0,Franz Liszt
0g4xsygciHCrujQzdXUudC,61.0,710216.0,Jessé Aguiar
5BwMgvRwlq61SmknvsVIQj,61.0,1512214.0,Rubén Blades
0iZz25uH5PLaShpqq84uYv,61.0,566004.0,Papatinho
57pVvBwa3ZCR9LsVlkLXj7,61.0,1185254.0,Vanessa Da Mata
2hgP9Ap2tc10R5jrQaEpMT,61.0,1282032.0,Charles Aznavour
0rlS0SzVFk8BoiAW0fGBbN,61.0,28439.0,Salaam Remi
2AQjGvtT0pFYfxR3neFcvz,61.0,2366061.0,Jordin Sparks
414pDI8Y502owCbg7U6Skf,61.0,520377.0,Musa Keys
319yZVtYM9MBGqmSQnMyY6,61.0,1452822.0,Carole King
1PwOU6fFbmaGkK3wkbb8fU,61.0,1856088.0,Cazuza
0jOs0wnXCu1bGGP7kh5uIu,61.0,1747254.0,Tim Maia
3nlHsNqwCSvT988ZfSW1Yh,61.0,1043008.0,Ronan Keating
4FUMTycjZlEY6ZxMgqNjC8,61.0,1375719.0,Tierry
559vxOLTzlAv0zB77JMcdG,61.0,1537249.0,Alceu Valença
1runhgZ4PyzxBhg0Nrc1F8,60.0,679988.0,Tiee
6hyMWrxGBsOx6sWcVj1DqP,60.0,964632.0,Sebastian Ingrosso
4YLBdrR3DVSMncm785NH6C,60.0,754977.0,Lenine
4hpKB93agzoncsTXEstSpK,60.0,320476.0,Suel
2L54fWLv9EgJu76ELlfV2J,60.0,961638.0,Beto Quintanilla
6tOsSffQQIXmK8TqsDck8t,60.0,1237213.0,Chico Buarque
33EUXrFKGjpUSGacqEHhU4,60.0,1539668.0,Iggy Pop
7bDY7ck0pXuKESZtEt1X5d,60.0,620249.0,Japãozin
6tLHGlt7L7raSf6vr96hWi,60.0,330913.0,Julia Vitória
3PVg0vaMUNTOu7C2GmYfSg,60.0,407588.0,Kevi Jonny
1WPcVNert9hn7mHsPKDn7j,60.0,1044749.0,Édith Piaf
1JOQXgYdQV2yfrhewqx96o,60.0,625360.0,Giuseppe Verdi
0YdeGzSneJdP1NEKY3EFlR,60.0,3798698.0,Bruna Karla
4NgNsOXSwIzXlUIJcpnNUp,60.0,832735.0,Sarah McLachlan
7MSUfLeTdDEoZiJPDSBXgi,60.0,700936.0,Brian Eno
03GruNQP8X25PCoWzdvIGZ,60.0,115982.0,Klaus Badelt
2GHclqNVjqGuiE5mA7BEoc,60.0,906970.0,Common
3aBkeBhwadnWMWoVJ2CxJC,60.0,894576.0,Rob Thomas
0lgENJQUkqkDbpsTYEayOr,60.0,332981.0,JUNNY
2U3FuHYvL3vhkbDAXm24Ep,60.0,27326.0,Dan Caplen
65tpb4BwAnD3HOUs8MC6TB,60.0,36824.0,DJ ESCOBAR
7ceUfdWq2t5nbatS6ollHh,60.0,650496.0,Paul Anka
2cAooeeHKk2UvzUgIxpS0y,60.0,834981.0,Jorge Aragão
0Rrl4hJQjRAbGtiEwAqS5N,60.0,630621.0,Alexandre Pires
6NyJIFHAePjHR1pFxwisqz,60.0,690570.0,Kurupt
2zGf6lwQ9PxXdoeo5XXP2K,60.0,4964370.0,Projota
7BT8x82CjBZUjJy6xj1G3O,60.0,335154.0,MC Pipokinha
42TFhl7WlMRXiNqzSrnzPL,60.0,1731442.0,Lou Reed
6rM2yY0GnVcOHMU5GD3y9E,60.0,742573.0,Martinho Da Vila
4hV3aU0WKvFaiX5ugXP5hp,59.0,63136.0,MC MN
5XlSS9O4eHRiJ0hKzbaFQ2,59.0,1165432.0,Kari Jobe
45lorWzrKLxfKlWpV7r9CN,59.0,991738.0,Ben Harper
5YxebzzreNswbtYC1td4cx,59.0,1137562.0,Tasha Cobbs Leonard
7r2uG6BlFXKcwmh9ItqlII,59.0,252841.0,Wrabel
1HxtfSGL8pWUwAyVgpbU5B,59.0,3257475.0,Anderson Freire
096an3uS6ZaK2XySae6SqP,59.0,774228.0,Arlindo Cruz
4FqPRilb0Ja0TKG3RS3y4s,59.0,591208.0,Steve Angello
4JA9UvIYD3D5kL7utiGJMI,59.0,528719.0,Mc Magrinho
0cuW2lF0YWb9VUyHOnvnsO,59.0,123322.0,Jenn Johnson
7pGyQZx9thVa8GxMBeXscB,59.0,220611.0,K'NAAN
