followers,genres,popularity,country,iso_code,person_id,name,person_kind
9604010.0,"['hip-hop', 'trap', 'urbano']",82.0,Argentina,ARG,1bAftSH8umNcGZ0uyV7LMg,Duki,Performers
8646301.0,"['hip-hop', 'rap', 'pop']",82.0,United States,USA,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,Performers
10331239.0,"['hip-hop', 'pop', 'reggaeton', 'trap', 'urbano']",81.0,Puerto Rico,PRI,33ScadVnbm2X8kkUqOkC6Z,Don Omar,Performers
11913135.0,['rap'],81.0,United States,USA,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,Performers
26067265.0,"['rock', 'metal', 'old school thrash']",81.0,United States,USA,2ye2Wgw4gimLv2eAKyk1NB,Metallica,Performers
12930138.0,"['hip-hop', 'rap', 'trap']",81.0,United States,USA,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,Performers
42502682.0,['pop'],81.0,Canada,CAN,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,Performers
20043072.0,"['bachata', 'hip-hop', 'pop', 'urbano']",81.0,United States,USA,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,Producers
10826219.0,"['rap', 'hip-hop']",81.0,United States,USA,2kCcBybjl3SAtIcwdWpUe3,Lil Peep,Writers
34987773.0,"['brostep', 'edm', 'pop', 'house']",81.0,United States,USA,64KEffDW9EtZ1y2vBYgq8T,Marshmello,Writers
34987773.0,"['brostep', 'edm', 'pop', 'house']",81.0,United States,USA,64KEffDW9EtZ1y2vBYgq8T,Marshmello,Performers
12366158.0,"['rock', 'mellow gold']",81.0,United Kingdom,GBR,3PhoLpVuITZKcymswpck5b,Elton John,Performers
13966288.0,"['pop', 'talent show']",81.0,United Kingdom,GBR,4IWBUUAFIplrNtaOHcJPRM,James Arthur,Performers
5977288.0,"['r&b', 'hip-hop', 'trap', 'urbano']",81.0,Spain,ESP,2IMZYfNi21MGqxopj9fWx8,Rels B,Performers
29033818.0,"['r&b', 'soul']",81.0,United States,USA,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,Writers
20043072.0,"['bachata', 'hip-hop', 'pop', 'urbano']",81.0,United States,USA,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,Writers
21510925.0,['pop'],81.0,United States,USA,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,Writers
12366158.0,"['rock', 'mellow gold']",81.0,United Kingdom,GBR,3PhoLpVuITZKcymswpck5b,Elton John,Writers
42502682.0,['pop'],81.0,Canada,CAN,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,Writers
3354347.0,"['pop', 'rap', 'trap']",81.0,United States,USA,4Gso3d4CscCijv0lmajZWs,Don Toliver,Performers
20153578.0,"['agronejo', 'arrocha', 'sertanejo']",81.0,Brazil,BRA,3p7PcrEHaaKLJnPUGOtRlT,Henrique & Juliano,Performers
5074698.0,['pop'],81.0,Argentina,ARG,1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,Performers
20043072.0,"['bachata', 'hip-hop', 'pop', 'urbano']",81.0,United States,USA,5lwmRuXgjX8xIwlnauTZIP,Romeo Santos,Performers
21510925.0,['pop'],81.0,United States,USA,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,Producers
29033818.0,"['r&b', 'soul']",81.0,United States,USA,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,Performers
10200647.0,"['pop', 'hip-hop']",81.0,United States,USA,0TnOYISbd1XYRBk9myaseg,Pitbull,Performers
9872031.0,['pop'],81.0,Colombia,COL,5C4PDR4LnhZTbVnKWXuDKD,Morat,Performers
21510925.0,['pop'],81.0,United States,USA,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,Performers
4201351.0,['melodic drill'],81.0,United Kingdom,GBR,5H4yInM5zmHqpKIoMNAx4r,Central Cee,Performers
10343411.0,"['funk', 'rap', 'hip-hop', 'pop']",81.0,United States,USA,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,Performers
